msg_id,device_id,msg_type,t_sensor_ms,t_pc_rx_ms,t_proc_start_ms,t_proc_end_ms,t_db_enqueue_ms,t_dashboard_emit_ms,deadline_ms,avi_ms,notes
,,telemetry,,1769621342836,1769621342837,1769621342837,1769621342837,1769621342837,300,5000,ok
,,status,,1769621342866,1769621342866,1769621342866,1769621342866,1769621342866,300,5000,ok
,,telemetry,,1769621347838,1769621347838,1769621347838,1769621347838,1769621347838,300,5000,ok
,,status,,1769621347868,1769621347868,1769621347868,1769621347868,1769621347868,300,5000,ok
,,telemetry,,1769621352839,1769621352839,1769621352839,1769621352839,1769621352839,300,5000,ok
,,status,,1769621352866,1769621352866,1769621352866,1769621352866,1769621352866,300,5000,ok
,,telemetry,,1769621357839,1769621357839,1769621357839,1769621357839,1769621357839,300,5000,ok
,,status,,1769621357876,1769621357876,1769621357876,1769621357876,1769621357876,300,5000,ok
,,telemetry,,1769621362838,1769621362838,1769621362838,1769621362838,1769621362838,300,5000,ok
,,status,,1769621362867,1769621362867,1769621362867,1769621362867,1769621362867,300,5000,ok
,,telemetry,,1769621367841,1769621367841,1769621367841,1769621367841,1769621367841,300,5000,ok
,,status,,1769621367866,1769621367866,1769621367866,1769621367866,1769621367866,300,5000,ok
,,telemetry,,1769621372840,1769621372841,1769621372841,1769621372841,1769621372841,300,5000,ok
,,status,,1769621372871,1769621372872,1769621372872,1769621372872,1769621372872,300,5000,ok
,,telemetry,,1769621377838,1769621377838,1769621377838,1769621377838,1769621377838,300,5000,ok
,,status,,1769621377866,1769621377866,1769621377866,1769621377866,1769621377866,300,5000,ok
,,telemetry,,1769621382839,1769621382839,1769621382839,1769621382839,1769621382839,300,5000,ok
,,status,,1769621382868,1769621382868,1769621382868,1769621382868,1769621382868,300,5000,ok
,,telemetry,,1769621387842,1769621387843,1769621387843,1769621387843,1769621387843,300,5000,ok
,,status,,1769621387866,1769621387866,1769621387866,1769621387866,1769621387866,300,5000,ok
,,telemetry,,1769621392858,1769621392858,1769621392858,1769621392858,1769621392858,300,5000,ok
,,status,,1769621392876,1769621392876,1769621392876,1769621392876,1769621392876,300,5000,ok
,,telemetry,,1769621397856,1769621397856,1769621397856,1769621397856,1769621397856,300,5000,ok
,,status,,1769621397874,1769621397874,1769621397874,1769621397874,1769621397874,300,5000,ok
,,telemetry,,1769621402839,1769621402840,1769621402840,1769621402840,1769621402840,300,5000,ok
,,status,,1769621402867,1769621402867,1769621402867,1769621402867,1769621402867,300,5000,ok
,,telemetry,,1769621407838,1769621407838,1769621407838,1769621407838,1769621407838,300,5000,ok
,,status,,1769621407869,1769621407869,1769621407869,1769621407869,1769621407869,300,5000,ok
,,telemetry,,1769621412838,1769621412838,1769621412838,1769621412838,1769621412838,300,5000,ok
,,status,,1769621412865,1769621412865,1769621412865,1769621412865,1769621412865,300,5000,ok
,,telemetry,,1769621417838,1769621417838,1769621417838,1769621417838,1769621417838,300,5000,ok
,,status,,1769621417865,1769621417865,1769621417865,1769621417865,1769621417865,300,5000,ok
